Title,Country Released,Date Released,Generation,Director,Console
Monster Hunter,JPN,11-Mar-04,1,Kaname Fujioka,PlayStation 2
Monster Hunter G,JPN,20-Jan-05,1,Kaname Fujioka,PlayStation 2
Monster Hunter G,JPN,23-Apr-09,1,Kaname Fujioka,Wii
Monster Hunter,NA,21-Sep-04,1,Kaname Fujioka,PlayStation 2
Monster Hunter Freedom,JPN,01-Dec-05,1,Yasunori Ichinose,Playstation Portable
Monster Hunter Freedom,NA,23-May-06,1,Yasunori Ichinose,Playstation Portable
Monster Hunter 2,JPN,16-Feb-06,2,Kaname Fujioka,PlayStation 2
Monster Hunter Freedom 2,JPN,22-Feb-07,2,Yasunori Ichinose,Playstation Portable
Monster Hunter Freedom 2,NA,28-Aug-07,2,Yasunori Ichinose,Playstation Portable
Monster Hunter Freedom Unite,JPN,27-Mar-08,2,Yasunori Ichinose,Playstation Portable
Monster Hunter Freedom Unite,NA,22-Jun-09,2,Yasunori Ichinose,Playstation Portable
Monster Hunter 3,JPN,01-Aug-09,3,Kaname Fujioka,Wii
Monster Hunter 3,NA,20-Apr-10,3,Kaname Fujioka,Wii
Monster Hunter Portable 3rd,JPN,01-Dec-10,3,Yasunori Ichinose,Playstation Portable
Monster Hunter 3 Ultimate,JPN,10-Dec-11,3,Kaname Fujioka,3DS
Monster Hunter 3 Ultimate,NA,19-Mar-13,3,Kaname Fujioka,3DS
Monster Hunter 4,JPN,14-Sep-13,4,Kaname Fujioka,3DS
Monster Hunter 4 G,JPN,11-Oct-14,4,Kaname Fujioka,3DS
Monster Hunter 4 Ultimate,NA,13-Feb-15,4,Kaname Fujioka,3DS
Monster Hunter Generations,JPN,28-Nov-15,4,Yasunori Ichinose,3DS
Monster Hunter XX,JPN,18-Mar-17,4,Yasunori Ichinose,3DS
Monster Hunter Generations Ultimate,JPN,25-Aug-17,4,Yasunori Ichinose,Nintendo Switch
Monster Hunter Generations Ultimate,NA,28-Aug-18,4,Yasunori Ichinose,Nintendo Switch
Monster Hunter: World,JPN,26-Jan-18,5,Yuya Tokuda,Xbox One
Monster Hunter: World,NA,26-Jan-18,5,Yuya Tokuda,PlayStation 4
Monster Hunter: World,JPN,26-Jan-18,5,Yuya Tokuda,Xbox One
Monster Hunter: World,NA,26-Jan-18,5,Yuya Tokuda,PlayStation 4
Monster Hunter World: Iceborne,JPN,06-Sep-19,5,Yuya Tokuda,Xbox One
Monster Hunter World: Iceborne,NA,06-Sep-19,5,Yuya Tokuda,PlayStation 4
Monster Hunter World: Iceborne,JPN,06-Sep-19,5,Yuya Tokuda,Xbox One
Monster Hunter World: Iceborne,NA,06-Sep-19,5,Yuya Tokuda,PlayStation 4
Monster Hunter Rise,NA,26-Mar-21,5,Yasunori Ichinose,Nintendo Switch
Monster Hunter Rise,JPN,26-Mar-21,5,Yasunori Ichinose,Nintendo Switch
